网元类型,网元版本,命令标识,索引参数条件,索引参数,索引值,参数值类型,参数值
UDG,20.13.2,SET APNSOFTPARA,SET APNSOFTPARA_DT=BIT,SET APNSOFTPARA_BITNUM,20,DEC,0
UDG,20.13.2,SET APNSOFTPARA,SET APNSOFTPARA_DT=BIT,SET APNSOFTPARA_BITNUM,43,DEC,0
UDG,20.13.2,SET APNSOFTPARA,SET APNSOFTPARA_DT=BYTE,SET APNSOFTPARA_BYTENUM,1,DEC,0
UDG,20.13.2,SET APNSOFTPARA,SET APNSOFTPARA_DT=BYTE,SET APNSOFTPARA_BYTENUM,3,DEC,0
UDG,20.13.2,SET APNSOFTPARA,SET APNSOFTPARA_DT=BYTE,SET APNSOFTPARA_BYTENUM,5,DEC,0
UDG,20.13.2,SET APNSOFTPARA,SET APNSOFTPARA_DT=BYTE,SET APNSOFTPARA_BYTENUM,7,DEC,0
UDG,20.13.2,SET APNSOFTPARA,SET APNSOFTPARA_DT=BYTE,SET APNSOFTPARA_BYTENUM,16,DEC,0
UDG,20.13.2,SET SOFTPARA,SET SOFTPARA_DT=BIT,SET SOFTPARA_BITNUM,102,DEC,0
UDG,20.13.2,SET SOFTPARA,SET SOFTPARA_DT=BIT,SET SOFTPARA_BITNUM,103,DEC,0
UDG,20.13.2,SET SOFTPARA,SET SOFTPARA_DT=BIT,SET SOFTPARA_BITNUM,204,DEC,0
UDG,20.13.2,SET SOFTPARA,SET SOFTPARA_DT=BIT,SET SOFTPARA_BITNUM,254,DEC,0
UDG,20.13.2,SET SOFTPARA,SET SOFTPARA_DT=BIT,SET SOFTPARA_BITNUM,311,DEC,0
UDG,20.13.2,SET SOFTPARA,SET SOFTPARA_DT=BIT,SET SOFTPARA_BITNUM,316,DEC,0
