semantic_object_id,capability_id,relation_type,notes,status
BA.SubjectSemantics,Capability:BA:TrafficRecognition,semantic_requires_capability,生效对象语义最终要落到 UserProfile/DNN/APN 等可识别生效范围之上,accepted
BA.TrafficRecognitionSemantics,Capability:BA:TrafficRecognition,semantic_requires_capability,流量识别语义依赖三四层、协议和七层识别能力,accepted
BA.RuleSemantics,Capability:BA:PccPolicyControlCP,semantic_requires_capability,规则语义需要控制面策略组织和更新能力,accepted
BA.RuleSemantics,Capability:BA:PccPolicyExecutionUP,semantic_requires_capability,规则语义需要用户面规则执行能力,accepted
BA.PolicyActionSemantics,Capability:BA:PccPolicyExecutionUP,semantic_requires_capability,策略动作最终由用户面策略执行能力承载,accepted
BA.PolicyActionSemantics,Capability:BA:RedirectActionUP,semantic_requires_capability,重定向/阻断等动作依赖用户面动作执行能力,accepted
BA.ActivationSemantics,Capability:BA:PccPolicyControlCP,semantic_requires_capability,启用与切换语义依赖控制面策略控制和更新能力,accepted
BA.BindingSemantics,Capability:BA:PccPolicyControlCP,semantic_requires_capability,绑定语义需要控制面组织用户模板和策略关联能力,accepted
BA.PrioritySemantics,Capability:BA:PccPolicyExecutionUP,semantic_requires_capability,优先级裁决需要用户面规则执行链配合,accepted
BA.ChargingSemantics,Capability:BA:ContentChargingUP,semantic_requires_capability,计费语义需要 UDG/UPF 侧业务粒度计费执行能力,accepted
BA.ChargingSemantics,Capability:BA:ContentChargingCP,semantic_requires_capability,计费语义需要 SMF 侧计费规则编排能力,accepted
BA.ChargingSemantics,Capability:BA:ConvergedCharging,semantic_requires_capability,计费语义需要融合计费框架承接 RG/RG+SID 路径,accepted
BA.QuotaSemantics,Capability:BA:ConvergedCharging,semantic_requires_capability,配额语义需要融合计费框架承接配额阈值和上报,accepted
BA.QuotaSemantics,Capability:BA:QuotaExhaustAction,semantic_requires_capability,配额耗尽动作语义需要显式动作控制能力,accepted
BA.RedirectSemantics,Capability:BA:RedirectActionUP,semantic_requires_capability,重定向语义依赖用户面重定向动作执行能力,accepted
BA.RuntimeSemantics,Capability:BA:PccPolicyControlCP,semantic_requires_capability,运行语义依赖控制面策略下发与更新能力,accepted
BA.RuntimeSemantics,Capability:BA:PccPolicyExecutionUP,semantic_requires_capability,运行语义依赖用户面策略执行能力,accepted
BA.ValidationDiagnosisSemantics,Capability:BA:PccPolicyControlCP,semantic_requires_capability,验收诊断语义需要控制面和用户面都可回查,accepted
