semantic_object_id,evidence_id,relation_type,notes,status
BA.SubjectSemantics,EVI-UDG-BA-93112148,semantic_verified_by,套餐1计费场景直接体现 UserProfile 承载的生效对象范围,accepted
BA.SubjectSemantics,EVI-UNC-FEAT-93400212,semantic_verified_by,CCT 可按 UserProfile/DNN/CC 粒度绑定，直接支撑生效对象语义,accepted
BA.TrafficRecognitionSemantics,EVI-UDG-FEAT-73565837,semantic_verified_by,SA-Basic 特性直接定义三四层、协议和七层解析识别能力,accepted
BA.TrafficRecognitionSemantics,EVI-UDG-BA-92393307,semantic_verified_by,七层重定向功能直接体现 L7Filter 和 FlowFilter 的识别链,accepted
BA.RuleSemantics,EVI-UDG-BA-93112148,semantic_verified_by,套餐1计费场景直接体现 Rule 与优先级组合,accepted
BA.RuleSemantics,EVI-UDG-BA-92407896,semantic_verified_by,业务感知场景举例直接体现 Rule1/Rule2/Rule3 的切换,accepted
BA.PolicyActionSemantics,EVI-UDG-BA-87803995,semantic_verified_by,配置PCC策略直接说明计费、重定向、阻断等动作,accepted
BA.PolicyActionSemantics,EVI-UNC-CMD-95129686,semantic_verified_by,ADD QUOTAEXHAUSTACT 直接说明 BLOCK/REDIRECT/FORWARD 动作枚举,accepted
BA.ActivationSemantics,EVI-UDG-FEAT-74096529,semantic_verified_by,本地 PCC 配置文档直接说明规则启用和生效依赖业务感知配置,accepted
BA.ActivationSemantics,EVI-UDG-BA-92407896,semantic_verified_by,场景举例直接说明耗尽前后 Rule 启停过程,accepted
BA.BindingSemantics,EVI-UDG-BA-93112148,semantic_verified_by,套餐1计费场景直接体现 UserProfile 与 RuleBinding 绑定,accepted
BA.BindingSemantics,EVI-UNC-TOPIC-90679673,semantic_verified_by,配置融合计费费率标识直接体现 Rule 到 UserProfile 绑定和缺省 URR 组绑定,accepted
BA.ChargingSemantics,EVI-UDG-FEAT-66863837,semantic_verified_by,内容计费基本功能直接说明业务粒度内容计费,accepted
BA.ChargingSemantics,EVI-UNC-FEAT-66402110,semantic_verified_by,UNC 内容计费基本功能直接说明 Rule/PDI/URR 的编排链,accepted
BA.QuotaSemantics,EVI-UNC-CMD-09653176,semantic_verified_by,ADD CCT 直接说明配额阈值与最终动作相关参数,accepted
BA.QuotaSemantics,EVI-UNC-CMD-95129686,semantic_verified_by,ADD QUOTAEXHAUSTACT 直接说明配额耗尽动作对象,accepted
BA.RedirectSemantics,EVI-UDG-BA-92393307,semantic_verified_by,七层重定向功能直接体现 Redirect 对象链,accepted
BA.RedirectSemantics,EVI-UDG-BA-87803995,semantic_verified_by,配置PCC策略直接说明 Redirect 与 PccActionProp/PccPolicyGrp 的关系,accepted
BA.RuntimeSemantics,EVI-UNC-FEAT-71770359,semantic_verified_by,UNC PCC 基本功能直接说明 SMF 下发 PDR 到 UPF 的运行链,accepted
BA.RuntimeSemantics,EVI-UDG-BA-92407896,semantic_verified_by,场景举例直接说明配额耗尽后控制面和用户面之间的运行时切换,accepted
BA.ValidationDiagnosisSemantics,EVI-UNC-TOPIC-90679673,semantic_verified_by,配置融合计费费率标识直接指出 CP/UP 一致性要求,accepted
BA.ConstraintSemantics,EVI-UNC-FEAT-93400212,semantic_verified_by,CCT 粒度继承优先级和统一配置要求属于约束语义,reserved
