task_id,config_object_id,relation_type,notes,status
TASK-BA-002,ConfigObject:UDG:Filter,realized_by_config,三四层过滤条件,accepted
TASK-BA-002,ConfigObject:UDG:IPList,realized_by_config,指定服务器 IP 范围列表,accepted
TASK-BA-002,ConfigObject:UDG:L7Filter,realized_by_config,七层 URL/Host 识别条件,accepted
TASK-BA-002,ConfigObject:UDG:FlowFilter,realized_by_config,识别条件组合对象,accepted
TASK-BA-002,ConfigObject:UDG:FltBindFlowF,realized_by_config,Filter 与 FlowFilter 的绑定关系,accepted
TASK-BA-002,ConfigObject:UDG:ProtBindFlowF,realized_by_config,协议或七层条件与 FlowFilter 的绑定关系,accepted
TASK-BA-002,ConfigObject:UDG:FlowFilterGroup,realized_by_config,免费业务多条件组合对象,accepted
TASK-BA-003,ConfigObject:UDG:URR,realized_by_config,UDG 侧业务计费语义对象,accepted
TASK-BA-003,ConfigObject:UDG:URRGroup,realized_by_config,UDG 侧 URR 组对象,accepted
TASK-BA-003,ConfigObject:UDG:PccPolicyGrp,realized_by_config,UDG 侧 PCC 策略组对象,accepted
TASK-BA-003,ConfigObject:UNC:URR,realized_by_config,UNC 侧费率标识与计费 URR 对象,accepted
TASK-BA-003,ConfigObject:UNC:URRGroup,realized_by_config,UNC 侧 URR 组对象,accepted
TASK-BA-003,ConfigObject:UNC:PccPolicyGrp,realized_by_config,UNC 侧 PCC 策略组对象,accepted
TASK-BA-004,ConfigObject:UDG:Rule,realized_by_config,UDG 侧 Rule 与优先级对象,accepted
TASK-BA-004,ConfigObject:UNC:Rule,realized_by_config,UNC 侧 Rule 对象,accepted
TASK-BA-005,ConfigObject:UDG:UserProfile,realized_by_config,UDG 侧套餐承载对象,accepted
TASK-BA-005,ConfigObject:UDG:RuleBinding,realized_by_config,UDG 侧规则绑定对象,accepted
TASK-BA-005,ConfigObject:UNC:UserProfile,realized_by_config,UNC 侧用户模板对象,accepted
TASK-BA-005,ConfigObject:UNC:RuleBinding,realized_by_config,UNC 侧规则绑定对象,accepted
TASK-BA-005,ConfigObject:UDG:URRGroup,realized_by_config,UDG 侧缺省 URR 组绑定目标,accepted
TASK-BA-005,ConfigObject:UNC:URRGroup,realized_by_config,UNC 侧缺省 URR 组绑定目标,accepted
TASK-BA-007,ConfigObject:UNC:CCT,realized_by_config,融合计费模板与配额阈值对象,accepted
TASK-BA-007,ConfigObject:UNC:UserProfile,realized_by_config,UserProfile 粒度 CCT 绑定入口之一,accepted
TASK-BA-008,ConfigObject:UNC:QuotaExhaustAction,realized_by_config,在线 RG 配额耗尽动作对象,accepted
TASK-BA-009,ConfigObject:UDG:Redirect,realized_by_config,URL 重定向目标和默认动作对象,accepted
TASK-BA-009,ConfigObject:UDG:PccActionProp,realized_by_config,承载重定向或阻断动作属性,accepted
TASK-BA-009,ConfigObject:UDG:PccPolicyGrp,realized_by_config,汇聚 PCC 动作属性、URRGroup、QoS 等策略对象,accepted
TASK-BA-010,ConfigObject:UDG:Rule,realized_by_config,区分正常规则和耗尽后重定向规则,accepted
TASK-BA-010,ConfigObject:UDG:RuleBinding,realized_by_config,将耗尽前后规则绑定到用户模板或策略承载对象,accepted
